date,overall_ask,overall_sold,condos_ask,condos_sold,condoTown_ask,condoTown_sold,freeTown_ask,freeTown_sold,detached_ask,detached_sold
2019-11-01,"771,475","800,125","588,000","590,500","599,000","598,000","899,000","942,000","999,900","1,070,000"
2019-10-01,"781,450","811,750","588,800","590,000","639,000","639,500","899,000","987,500","999,000","1,030,000"
2019-09-01,"775,459","813,475","569,000","574,900","633,950","635,000","899,000","969,000","999,888","1,075,000"
2019-08-01,"739,200","756,250","569,000","570,000","598,000","600,000","830,000","895,000","959,800","960,000"
2019-07-01,"746,725","761,250","559,000","565,000","599,900","607,500","849,000","907,500","979,000","965,000"
2019-06-01,"783,000","801,562","569,000","570,000","615,000","633,000","899,000","953,250","1,049,000","1,050,000"
2019-05-01,"782,750","807,500","569,000","570,000","629,000","637,000","899,000","953,000","1,034,000","1,070,000"
2019-04-01,"756,975","784,000","555,000","565,000","599,000","611,000","874,900","910,000","999,000","1,050,000"
2019-03-01,"742,300","767,562","544,950","547,750","589,450","592,500","859,900","940,000","974,900","990,000"
2019-02-01,"769,000","790,625","539,000","543,500","599,000","600,000","899,000","969,000","1,039,000","1,050,000"
2019-01-01,"726,725","735,250","529,000","531,000","599,000","595,000","849,900","890,000","929,000","925,000"
2018-12-01,"715,837","710,187","530,950","526,500","603,500","598,750","799,000","824,000","929,900","891,500"
2018-11-01,"748,450","765,500","529,000","530,000","575,000","577,000","889,900","920,000","999,900","1,035,000"
2018-10-01,"744,697","772,625","529,000","536,000","599,900","610,000","849,900","887,500","999,990","1,057,000"
2018-09-01,"749,200","759,625","539,900","545,000","597,000","592,000","828,000","851,500","1,031,900","1,050,000"
2018-08-01,"700,950","706,000","519,000","520,000","560,000","569,000","799,800","810,000","925,000","925,000"
2018-07-01,"727,100","729,225","515,000","524,900","599,000","590,000","834,500","855,000","959,900","947,000"
2018-06-01,"753,323","774,925","525,000","535,000","599,900","600,500","888,500","909,200","999,894","1,055,000"
2018-05-01,"743,587","777,125","525,000","535,000","599,450","594,000","849,900","919,500","999,999","1,060,000"
2018-04-01,"741,700","784,562","518,000","530,000","599,000","615,000","849,900","923,000","999,900","1,070,250"
2018-03-01,"738,725","754,200","508,000","516,800","589,000","600,000","859,900","900,000","998,000","1,000,000"
2018-02-01,"733,575","748,249","499,900","510,000","589,500","584,000","849,900","899,000","995,000","999,999"
2018-01-01,"712,850","717,750","498,000","498,000","529,950","531,500","824,450","860,000","999,000","981,500"
2017-12-01,"684,836","681,611","475,000","478,000","524,395","522,500","789,950","780,000","950,000","945,944"
2017-11-01,"693,049","701,281","488,000","485,000","534,400","539,750","799,900","833,375","949,900","947,000"
2017-10-01,"730,800","740,125","479,900","485,000","595,400","582,500","849,900","895,000","998,000","998,000"
2017-09-01,"716,830","721,500","496,250","490,000","541,073","546,000","832,000","850,000","998,000","1,000,000"
2017-08-01,"680,199","688,625","478,400","473,250","542,500","537,250","800,000","849,000","899,900","895,000"
2017-07-01,"702,062","704,373","469,900","469,995","554,450","570,000","799,900","820,000","984,000","957,500"
2017-06-01,"724,487","742,562","458,000","472,750","549,950","562,500","841,000","860,000","1,049,000","1,075,000"
2017-05-01,"722,750","781,375","450,000","483,000","567,500","600,000","874,500","940,000","999,000","1,102,500"
2017-04-01,"718,062","839,125","449,900","501,000","544,450","620,500","799,900","960,000","1,078,000","1,275,000"
