name,yeartmp,value,lastValue,rank,year,date
overall_ask,2019.1,771475,781450,6,131,November 2019
overall_ask,2019.09,781450,775459,6,130,October 2019
overall_ask,2019.08,775459,739200,6,129,September 2019
overall_ask,2019.07,739200,746725,6,128,August 2019
overall_ask,2019.06,746725,783000,6,127,July 2019
overall_ask,2019.05,783000,782750,6,126,June 2019
overall_ask,2019.04,782750,756975,6,125,May 2019
overall_ask,2019.03,756975,742300,6,124,April 2019
overall_ask,2019.02,742300,769000,6,123,March 2019
overall_ask,2019.01,769000,726725,6,122,February 2019
overall_ask,2019.0,726725,715837,6,121,January 2019
overall_ask,2018.11,715837,748450,5,120,December 2018
overall_ask,2018.1,748450,744697,6,119,November 2018
overall_ask,2018.09,744697,749200,6,118,October 2018
overall_ask,2018.08,749200,700950,6,117,September 2018
overall_ask,2018.07,700950,727100,6,116,August 2018
overall_ask,2018.06,727100,753323,6,115,July 2018
overall_ask,2018.05,753323,743587,6,114,June 2018
overall_ask,2018.04,743587,741700,6,113,May 2018
overall_ask,2018.03,741700,738725,6,112,April 2018
overall_ask,2018.02,738725,733575,6,111,March 2018
overall_ask,2018.01,733575,712850,6,110,February 2018
overall_ask,2018.0,712850,684836,6,109,January 2018
overall_ask,2017.11,684836,693049,5,108,December 2017
overall_ask,2017.1,693049,730800,6,107,November 2017
overall_ask,2017.09,730800,716830,6,106,October 2017
overall_ask,2017.08,716830,680199,6,105,September 2017
overall_ask,2017.07,680199,702062,6,104,August 2017
overall_ask,2017.06,702062,724487,6,103,July 2017
overall_ask,2017.05,724487,722750,6,102,June 2017
overall_ask,2017.04,722750,718062,6,101,May 2017
overall_ask,2017.03,718062,686787,6,100,April 2017
overall_ask,2017.02,686787,681222,6,99,March 2017
overall_ask,2017.01,681222,638448,6,98,February 2017
overall_ask,2017.0,638448,631662,6,97,January 2017
overall_ask,2016.11,631662,649175,6,96,December 2016
overall_ask,2016.1,649175,641712,6,95,November 2016
overall_ask,2016.09,641712,619200,6,94,October 2016
overall_ask,2016.08,619200,588622,6,93,September 2016
overall_ask,2016.07,588622,592975,6,92,August 2016
overall_ask,2016.06,592975,611312,6,91,July 2016
overall_ask,2016.05,611312,611722,6,90,June 2016
