Neighbourhood,id,Businesses,Child_Care_Spaces,Debt_Risk_Score,Home_Prices,Local_Employment,Social_Assistance_Recipients,Mid_Century_Highrise_Households,Mid_Century_Highrise_Population,Percent_Mid_Century_Highrise_Households,Percent_Mid_Century_Highrise_Population,Rent_Bank_Applicants,Social_Housing_Turnover,Social_Housing_Units,Social_Housing_Waiting_List
West Humber-Clairville,1,2463,195,719,317508,58271,2912,690,1810,6.8,5.3,38,0.3125,952,557
Mount Olive-Silverstone-Jamestown,2,271,60,687,251119,3244,6561,4110,13395,42.9,40.9,41,7,1146,1049
Thistletown-Beaumond Heights,3,217,25,718,414216,1311,1276,430,1260,13.4,12.4,7,1.333333333,447,270
Rexdale-Kipling,4,144,75,721,392271,1178,1323,600,1050,15.2,10,19,4.2,432,186
Elms-Old Rexdale,5,67,60,692,233832,903,1683,870,2305,27.3,24.1,14,1,463,239
Kingsview Village-The Westway,6,160,129,717,292861,2799,4348,4465,12445,58.2,57.3,55,9.5,367,663
Willowridge-Martingrove-Richview,7,169,165,750,511637,1843,2032,2890,7090,35.5,33.2,24,2,561,316
Humber Heights-Westmount,8,82,140,753,491396,896,856,1370,2860,35,27,3,1.8125,669,155
Edenbridge-Humber Valley,9,153,30,761,873268,1334,751,1550,3630,25.7,24.3,10,0,0,139
Princess-Rosethorn,10,74,367,791,971668,1226,299,410,1180,11,10.5,4,0,0,41
Eringate-Centennial-West Deane,11,229,172,775,423034,3472,775,1540,3775,22.3,20.1,3,0,104,101
Markland Wood,12,106,105,783,505350,1494,239,2050,3935,47.5,37.7,4,0,0,70
Etobicoke West Mall,13,146,60,738,298426,4340,1091,2160,5560,52.7,50.9,12,0,99,149
Islington-City Centre West,14,2263,204,755,491678,45794,2534,4085,8890,25.1,23.4,16,5.181818182,1245,489
Kingsway South,15,195,115,793,941223,2335,74,160,295,4.5,3.2,0,0,0,16
Stonegate-Queensway,16,595,283,760,690949,5932,1593,320,640,3.1,2.6,12,0,129,280
Mimico,17,619,195,741,429941,11549,2634,2430,3880,17.8,14.6,36,8.111111111,947,547
New Toronto,18,368,90,719,460811,5289,1600,385,490,7.4,4.5,18,0.96,1189,389
Long Branch,19,170,54,724,459088,1143,1024,690,1220,15.3,12.7,20,0,106,177
Alderwood,20,309,120,764,504233,4839,516,350,630,7.5,5.3,2,2.5,84,69
Humber Summit,21,1373,53,715,354381,17950,1659,525,1935,13.8,15.4,7,0.444444444,124,204
Humbermede,22,374,55,695,314721,5799,2590,1130,3305,22.1,20.9,16,0.166666667,218,424
Pelmo Park-Humberlea,23,152,0,735,412618,2855,798,195,520,6.5,6,4,0.333333333,176,149
Black Creek,24,306,175,661,235143,3856,6408,3960,10490,54.7,47.6,27,5.818181818,1432,829
Glenfield-Jane Heights,25,587,173,678,304262,8323,7263,2985,8745,29.8,27.9,30,4.269230769,1587,949
Downsview-Roding-CFB,26,985,238,692,400486,20150,5618,2685,6095,20.3,17.6,36,2.777777778,527,1060
York University Heights,27,2643,156,698,359372,42885,4720,4065,9845,39.4,35.5,43,2,511,727
Rustic,28,48,26,692,493442,550,1924,1225,3355,33.7,33.7,9,3.117647059,1435,349
Maple Leaf,29,47,90,721,540741,737,919,725,2150,20.4,21.1,5,0,175,160
Brookhaven-Amesbury,30,466,54,687,352428,4825,3420,2935,7620,45.7,42.8,36,2.777777778,589,603
Yorkdale-Glen Park,31,1468,82,729,421045,24685,1502,1130,2730,21.6,18.6,6,7.7,798,292
Englemount-Lawrence,32,175,105,730,577889,3495,2733,1465,2785,18,12.6,9,2.210526316,1688,379
Clanton Park,33,357,130,740,605585,5011,734,390,755,7,5.2,6,1.363636364,549,256
Bathurst Manor,34,244,105,745,568877,3370,1018,1230,2625,20.3,17,6,0.5,385,232
Westminster-Branson,35,83,45,730,372380,3027,2906,6355,15251,63.2,59.9,15,4.2,530,1077
Newtonbrook West,36,483,98,737,557468,9091,2124,2610,6375,30.3,27.7,1,2,261,670
Willowdale West,37,363,248,766,541247,7110,515,1070,1630,16,10.9,1,9.25,527,176
Lansing-Westgate,38,488,75,758,646460,12254,468,880,1765,14.7,12.1,3,0,0,169
Bedford Park-Nortown,39,676,60,776,1191040,8187,484,1120,1795,12.9,7.7,5,2,236,141
St.Andrew-Windfields,40,591,124,774,1363202,13023,606,955,2195,14.8,12.2,3,0,0,133
Bridle Path-Sunnybrook-York Mills,41,58,0,788,1849084,11756,37,0,0,0,0,0,0,0,24
Banbury-Don Mills,42,834,255,776,613647,25614,1030,2570,4755,21.8,17.7,13,1.142857143,304,279
Victoria Village,43,431,134,730,365107,7035,2593,2345,5410,32.2,31.5,15,7.083333333,891,459
Flemingdon Park,44,185,203,721,204104,5088,4348,5120,13890,63.7,62.7,16,13.6,717,1141
Parkwoods-Donalda,45,209,441,731,553698,2802,3664,5355,12920,40.7,37.3,63,0.875,786,712
Pleasant View,46,124,90,767,463859,1162,791,1250,3095,22.6,19.2,9,0,0,205
Don Valley Village,47,373,229,756,478489,5640,2137,4345,10870,44.6,40.7,16,0.25,156,572
Hillcrest Village,48,424,180,775,484743,11806,694,1500,2690,22.9,15.2,0,6.875,1028,252
Bayview Woods-Steeles,49,93,180,777,784397,2207,666,1350,2775,28.6,20.5,2,6.333333333,170,181
Newtonbrook East,50,400,30,757,626626,4357,685,485,1015,7.8,6.2,1,2.6,300,256
Willowdale East,51,849,209,759,540911,16026,1189,1745,3695,8.9,8.2,3,2,208,424
Bayview Village,52,460,60,768,533089,9377,626,885,2120,11.9,12,4,3,122,178
Henry Farm,53,717,105,736,372110,18728,1502,2200,6215,53.5,54.8,8,0,0,359
O'Connor-Parkview,54,346,75,725,538203,4677,2984,1655,3800,22.4,20.7,21,2.294117647,693,516
Thorncliffe Park,55,449,21,724,313618,9847,3818,5110,14785,76.1,76.9,11,1.444444444,551,1105
Leaside-Bennington,56,313,274,791,1071823,2901,239,290,485,4.4,2.9,5,0,89,58
Broadview North,57,129,57,728,518555,1286,1306,2855,5570,50.9,48.2,9,1.2,238,326
Old East York,58,134,88,756,581398,1017,569,390,720,10.1,7.9,4,0.5,78,113
Danforth-East York,59,167,214,763,518568,3715,1049,525,945,7.6,5.7,8,11.5,287,231
Woodbine-Lumsden,60,56,95,748,440700,558,582,530,820,15.2,10.5,5,11,201,134
Taylor-Massey,61,157,60,721,254151,1399,2635,4435,10710,70.5,68.7,11,3.333333333,353,919
East End-Danforth,62,516,330,741,535867,3636,1901,1505,2600,16.5,12.5,14,0.90625,1000,599
The Beaches,63,531,167,764,751945,5694,672,150,220,1.6,1,17,0.333333333,193,143
Woodbine Corridor,64,146,214,749,521549,1896,906,200,405,3.8,3.5,7,0.703703704,841,242
Greenwood-Coxwell,65,315,94,738,490920,2342,1762,365,625,6.1,4.4,7,0.96969697,919,385
Danforth,66,414,152,755,585093,2786,626,360,405,9.2,4.3,2,8.75,715,153
Playter Estates-Danforth,67,301,162,757,842668,2243,288,720,965,20.3,12.6,2,2.6,192,103
North Riverdale,68,327,233,767,818592,4033,503,590,805,11.5,6.6,4,0,163,161
Blake-Jones,69,133,30,739,571246,1789,1021,300,620,9.4,8,4,2.875,658,204
South Riverdale,70,1197,224,746,537087,12378,2695,215,380,2,1.5,7,2.375,1313,836
Cabbagetown-South St.James Town,71,290,0,744,537025,2513,986,2480,3800,37.4,31.5,11,2.551724138,1434,358
Regent Park,72,143,30,701,484444,1931,2491,1190,2655,30.9,26.5,4,7.25,2591,650
Moss Park,73,841,110,709,457524,12051,3510,2375,3435,26.3,21.1,14,3.542372881,3133,1573
North St.James Town,74,243,55,705,489366,6705,2681,6660,13070,72.4,73.3,35,15,1715,1127
Church-Yonge Corridor,75,2443,45,736,410703,54044,3090,7855,11380,43.1,40.1,19,1.235294118,3653,1022
Bay Street Corridor,76,4324,30,755,457787,185891,678,3650,6670,32,34.5,6,0.2,521,271
Waterfront Communities-The Island,77,2899,130,748,416759,88058,2864,3310,5340,12.3,12.3,15,0.701754386,3990,672
Kensington-Chinatown,78,1883,247,728,477989,37205,2523,2770,4195,32.1,22.7,5,0.710280374,2597,781
University,79,483,15,748,773920,10967,259,490,730,14.9,9.4,1,2,359,140
Palmerston-Little Italy,80,521,159,742,781568,3262,665,175,220,2.8,1.6,1,6,262,170
Trinity-Bellwoods,81,715,332,742,723909,5380,1415,0,0,0,0,1,0.333333333,42,261
Niagara,82,591,65,747,398281,15621,1246,1305,2115,10.3,10.1,10,1.631578947,2052,334
