Neighbourhood,id,Population_2016,Population_2011,Population_Change_20112016,Total_private_dwellings,Children_0_to_14_years,Youth_15_to_24_years,Working_Age_25_to_54_years,Preretirement_55_to_64_years,Seniors_65_years_and_older,Income_under_10000_including_loss,Income_10000_to_19999,Income_20000_to_29999,Income_30000_to_39999,Income_40000_to_49999,Income_50000_to_59999,Income_60000_to_69999,Income_70000_to_79999,Income_80000_to_89999,Income_90000_to_99999,Income_100000_and_over,No_certificate_diploma_or_degree,Secondary_high_school_diploma_or_equivalency_certificate,Postsecondary_certificate_diploma_or_degree,Apprenticeship_or_trades_certificate_or_diploma,College_CEGEP_or_other_nonuniversity_certificate_or_diploma,University_certificate_or_diploma_below_bachelor_level,University_certificate_diploma_or_degree_at_bachelor_level_or_above,Bachelors_degree,University_certificate_or_diploma_above_bachelor_level,Degree_in_medicine_dentistry_veterinary_medicine_or_optometry,Masters_degree,Earned_doctorate,Total_income_Average_amount_,Market_income_Average_amount_,Employment_income_Average_amount_,Investment_income_Average_amount_,Private_retirement_income_Average_amount_,Canada_Pension_Plan_CPP_and_Quebec_Pension_Plan_QPP_benefits_Average_amount,Employment_Insurance_EI_benefits_Average_amount,Child_benefits_Average_amount,Social_assistance_benefits_Average_amount,Workers_compensation_benefits_Average_amount_,Working_income_tax_benefit_WITB_Average_amount_,Goods_and_services_tax_GST_credit_and_harmonized_sales_tax_HST_credit_Average_amount_,Aftertax_income_Average_amount_,Income_taxes_Average_amount_,Net_federal_tax_Average_amount_,Provincial_and_territorial_income_taxes_Average_amount_,City_Grants_Funding_,Neighbourhood_Equity_Score,Walk_Score,Businesses,Child_Care_Spaces,Debt_Risk_Score,Home_Prices,Local_Employment,Social_Assistance_Recipients,Catholic_School_Graduation,Catholic_School_Literacy,Green_Rebate_Programs,Green_Spaces,Health_Providers,Premature_Mortality,Rent_Bank_Applicants,Social_Housing_Units,Social_Housing_Waiting_List,Arsons,Assaults,Break__Enters,Drug_Arrests,Fire_Medical_Calls,Fire_Vehicle_Incidents,Fires__Fire_Alarms,Hazardous_Incidents,Murders,Robberies,Sexual_Assaults,Thefts,Total_Major_Crime_Incidents,Vehicle_Thefts
Agincourt North,129,29113,30279,-0.039,9371,3840,3705,11305,4230,6045,5225,6475,3945,2780,2005,1220,745,525,275,190,245,3335,4240,7870,520,2550,570,4240,3090,215,105,735,85,30414,30017,31860,3646,18482,5739,6841,6244,8602,1733,932,356,26955,6726,4795,2472,123283,45.78,57,2463,195,719,317508,58271,2912,0.810055,68.518516,428,2.078835532,101,223.8,38,952,557,4,390,175,62,1321,502,705,210,0,82,68,54,1119,288
Agincourt South-Malvern West,128,23757,21988,0.08,8535,3075,3360,9965,3265,4105,4590,4640,3075,2270,1665,1150,695,500,290,155,265,1860,3410,7895,460,2340,485,4615,3270,215,120,920,85,31825,31854,33908,4380,18200,6190,7393,5882,8926,2294,914,341,27928,7185,5102,2642,238172,29.29,61,271,60,687,251119,3244,6561,0.792899,59.2,250,1.048870056,44,242.6,41,1146,1049,3,316,61,90,1016,59,361,176,1,78,75,7,690,62
Alderwood,20,12054,11904,0.013,4732,1760,1235,5220,1825,2015,1395,1565,1590,1325,1170,930,625,510,350,155,325,795,1825,4350,445,1735,195,1980,1415,105,45,390,25,47709,46761,49899,4820,18562,8047,7495,3933,9642,8613,746,327,39159,11626,7895,4274,7296,39.78,54,217,25,718,414216,1311,1276,0.73,68.888885,118,0.939107957,14,226.1,7,447,270,0,85,36,16,323,48,90,34,0,17,24,2,192,12
Annex,95,30526,29177,0.046,18109,2360,3750,15040,3480,5910,3995,3790,2955,2590,2370,1930,1630,1215,870,670,3660,450,2060,15395,365,2005,385,12640,6855,670,330,3930,870,112766,117981,102593,44538,42918,8250,6959,3313,8296,4617,733,300,80138,45973,30496,18254,35100,43.76,58,144,75,721,392271,1178,1323,0.864197,74.074073,121,0.240663012,6,282.7,19,432,186,0,59,32,15,305,34,94,55,1,16,20,3,164,18
Banbury-Don Mills,42,27695,26918,0.029,12473,3605,2730,10810,3555,6975,3320,3265,2725,2450,2360,1905,1550,1135,905,630,2150,610,2265,11455,400,2420,560,8060,4895,530,430,1970,245,67757,68234,63371,20893,29704,8242,8202,3835,8348,2039,825,326,51874,21829,14370,8509,0,29.54,48,67,60,692,233832,903,1683,0.653333,59.2,73,0.730089694,1,163.6,14,463,239,1,77,25,14,321,71,107,43,0,23,5,19,185,22
Bathurst Manor,34,15873,15434,0.028,6418,2325,1940,6655,2030,2940,2160,2570,2030,1545,1200,895,675,470,390,205,530,480,1830,6390,385,1625,355,4030,2485,375,135,880,155,45936,47015,46786,10273,18528,7476,6983,4419,9708,7125,816,342,37927,12656,8645,4814,0,41.76,56,160,129,717,292861,2799,4348,0.854304,76.666664,181,0.310186768,24,181.9,55,367,663,0,134,59,47,680,186,244,117,1,32,22,8,351,48
Bay Street Corridor,76,25797,19348,0.333,18436,1695,6860,13065,1760,2420,7090,2995,2180,1965,1730,1565,1545,1125,660,445,1620,285,1265,13220,170,1085,300,11660,5810,570,1130,3275,870,56526,64645,63009,17050,37712,8217,8106,5014,8917,0,763,283,43427,23471,16729,9224,14425,54.46,51,169,165,750,511637,1843,2032,0.884615,84.771575,259,0.348688375,31,172.6,24,561,316,2,131,66,18,640,78,228,111,0,48,22,8,342,49
Bayview Village,52,21396,17671,0.211,10111,2415,2505,10310,2540,3615,3890,2805,2155,1805,1700,1400,1110,860,600,365,1070,385,1700,10750,240,2120,490,7910,4895,400,365,1985,260,52035,54357,51853,14638,32763,7716,8020,4604,8280,0,882,318,41440,16439,11062,6569,32400,56.13,58,82,140,753,491396,896,856,0.85,81.034484,114,0.431646057,4,207.9,3,669,155,1,41,28,12,512,37,165,64,0,15,1,1,106,8
Bayview Woods-Steeles,49,13154,13530,-0.028,4895,1515,1635,4490,1825,3685,2215,1985,1425,1085,915,730,580,455,325,215,635,310,910,5075,200,995,230,3640,2105,280,155,915,180,47246,47319,45292,11674,28249,7871,6759,4937,8835,0,840,336,38196,14685,10191,5608,0,63.36,49,153,30,761,873268,1334,751,0.875,85.454544,129,0.544804291,10,193,10,0,139,1,57,75,4,317,25,113,73,0,18,5,5,185,21
Bedford Park-Nortown,39,23236,23185,0.002,9052,4555,3210,8410,3075,3980,2480,2140,2050,1635,1350,1125,935,810,680,575,3900,415,1545,9405,320,1425,295,7350,4285,515,495,1845,220,123077,125630,112273,41765,37101,8659,9058,3966,9096,0,767,335,85678,48920,32139,19736,0,76.57,48,74,367,791,971668,1226,299,0.955882,91.304344,169,0.220794818,6,189.8,4,0,41,0,48,50,16,214,22,76,54,0,17,1,9,157,16
Beechborough-Greenbrook,112,6577,6488,0.014,2796,1120,855,2750,885,965,850,1205,960,740,510,275,180,95,40,25,55,790,1015,1760,375,735,140,505,355,70,10,60,10,33829,33207,35218,5056,16907,7457,6320,7248,9378,8785,631,385,29453,7726,5418,2835,0,62.56,57,229,172,775,423034,3472,775,0.924107,86.71875,313,2.891261519,10,173.9,3,104,101,0,58,63,9,522,141,142,81,0,35,9,5,204,25
Bendale,127,29960,27876,0.075,11293,4550,4605,12050,3535,5250,5175,4820,3730,3150,2320,1575,965,635,360,180,260,2075,4010,9365,620,3230,460,5065,3540,345,105,990,55,33256,33857,35897,2951,18837,7172,6499,6598,10030,6982,899,347,28953,7640,5364,2766,1200,74.88,69,106,105,783,505350,1494,239,0.966666,91.666664,182,0.224255343,14,199.1,4,0,70,0,42,24,10,251,50,71,26,0,20,3,0,113,14
Birchcliffe-Cliffside,122,22291,21856,0.02,9637,3345,2440,9075,3520,3910,2795,2945,2500,2015,1840,1515,1045,895,635,360,1045,1210,3195,8135,640,2805,390,4295,2865,285,40,985,105,54360,55442,57365,5741,24526,7880,8153,4185,8748,4448,789,334,43027,16230,10755,6094,64200,51.19,74,146,60,738,298426,4340,1091,0.907894,81.707313,93,0.147624711,10,196.3,12,99,149,0,73,26,11,290,60,72,46,1,15,6,4,151,15
Black Creek,24,21737,22057,-0.015,7671,4600,3290,8525,2425,2870,3475,4405,3065,2375,1340,610,290,150,65,20,30,3590,3155,4270,785,1920,270,1300,1015,65,45,120,40,25989,25601,27575,1613,10554,6282,6790,8902,10311,8763,822,401,23786,4750,3388,1719,12500,62.51,72,2263,204,755,491678,45794,2534,0.876288,86.428573,391,0.51025012,128,222.4,16,1245,489,3,268,207,71,1616,374,625,249,1,58,37,23,853,188
Blake-Jones,69,7727,7763,-0.005,3269,1405,885,3605,940,895,1050,1340,750,575,465,430,340,260,240,150,375,485,780,3255,220,740,100,2190,1380,140,20,550,90,48511,52949,53921,5666,23273,6288,6323,5802,9169,0,851,359,39515,15416,10505,5733,0,86.19,68,195,115,793,941223,2335,74,0.944444,92.857139,108,0.295550892,9,130.1,0,0,16,0,37,29,6,251,18,112,54,0,30,1,2,120,15
Briar Hill-Belgravia,108,14257,14302,-0.003,6080,1855,1655,6740,1925,2100,1975,2520,2320,1735,1230,745,490,305,190,100,160,1095,1970,5540,485,1690,370,2990,2095,260,55,525,60,34768,34642,36740,3032,12881,7250,6871,4607,8970,10761,808,338,30341,7141,5022,2604,0,69.29,67,595,283,760,690949,5932,1593,0.885964,91.489364,306,0.755267148,66,178.1,12,129,280,1,131,86,19,729,81,167,135,0,21,10,9,326,50
Bridle Path-Sunnybrook-York Mills,41,9266,8713,0.063,3478,1435,1425,3090,1525,1785,1280,660,570,415,425,415,395,375,265,240,2270,55,485,3995,55,310,120,3500,1810,275,310,990,120,308010,320819,308154,104514,55725,8834,6772,2833,0,0,726,299,193454,150999,95070,62927,3000,62.36,71,619,195,741,429941,11549,2634,0.921985,86.124404,241,0.716898274,22,250.7,36,947,547,0,201,139,52,914,156,378,172,0,16,14,9,466,35
