Neighbourhood,id,Population_2016,Population_2011,Population_Change_20112016,Total_private_dwellings,Children_0_to_14_years,Youth_15_to_24_years,Working_Age_25_to_54_years,Preretirement_55_to_64_years,Seniors_65_years_and_older,Income_under_10000_including_loss,Income_10000_to_19999,Income_20000_to_29999,Income_30000_to_39999,Income_40000_to_49999,Income_50000_to_59999,Income_60000_to_69999,Income_70000_to_79999,Income_80000_to_89999,Income_90000_to_99999,Income_100000_and_over,No_certificate_diploma_or_degree,Secondary_high_school_diploma_or_equivalency_certificate,Postsecondary_certificate_diploma_or_degree,Apprenticeship_or_trades_certificate_or_diploma,College_CEGEP_or_other_nonuniversity_certificate_or_diploma,University_certificate_or_diploma_below_bachelor_level,University_certificate_diploma_or_degree_at_bachelor_level_or_above,Bachelors_degree,University_certificate_or_diploma_above_bachelor_level,Degree_in_medicine_dentistry_veterinary_medicine_or_optometry,Masters_degree,Earned_doctorate,Total_income_Average_amount_,Market_income_Average_amount_,Employment_income_Average_amount_,Investment_income_Average_amount_,Private_retirement_income_Average_amount_,Canada_Pension_Plan_CPP_and_Quebec_Pension_Plan_QPP_benefits_Average_amount,Employment_Insurance_EI_benefits_Average_amount,Child_benefits_Average_amount,Social_assistance_benefits_Average_amount,Workers_compensation_benefits_Average_amount_,Working_income_tax_benefit_WITB_Average_amount_,Goods_and_services_tax_GST_credit_and_harmonized_sales_tax_HST_credit_Average_amount_,Aftertax_income_Average_amount_,Income_taxes_Average_amount_,Net_federal_tax_Average_amount_,Provincial_and_territorial_income_taxes_Average_amount_,City_Grants_Funding_,Neighbourhood_Equity_Score,Walk_Score,Businesses,Child_Care_Spaces,Debt_Risk_Score,Home_Prices,Local_Employment,Social_Assistance_Recipients,Catholic_School_Graduation,Catholic_School_Literacy,Green_Rebate_Programs,Green_Spaces,Health_Providers,Premature_Mortality,Rent_Bank_Applicants,Social_Housing_Units,Social_Housing_Waiting_List,Arsons,Assaults,Break__Enters,Drug_Arrests,Fire_Medical_Calls,Fire_Vehicle_Incidents,Fires__Fire_Alarms,Hazardous_Incidents,Murders,Robberies,Sexual_Assaults,Thefts,Total_Major_Crime_Incidents,Vehicle_Thefts
Agincourt North,129,29113.000,30279.000,-0.039,24.343,9.975,9.624,29.367,10.988,15.703,22.112,27.402,16.695,11.765,8.485,5.163,3.153,2.222,1.164,0.804,1.037,21.579,27.434,50.922,3.365,16.500,3.688,27.434,19.994,1.391,0.679,4.756,0.550,30414.000,30017.000,31860.000,3646.000,18482.000,5739.000,6841.000,6244.000,8602.000,1733.000,932.000,356.000,26955.000,6726.000,4795.000,2472.000,407.157,45.780,57.000,8.134,0.644,719.000,317508.000,192.447,9.617,0.810,68.519,1.414,0.007,0.334,0.739,0.125,3.144,1.840,0.013,1.288,0.578,0.205,4.363,1.658,2.328,0.694,0.000,0.271,0.225,0.178,3.696,0.951
Agincourt South-Malvern West,128,23757.000,21988.000,0.080,26.420,9.519,10.401,30.847,10.107,12.707,23.789,24.048,15.937,11.765,8.629,5.960,3.602,2.591,1.503,0.803,1.373,14.134,25.912,59.992,3.495,17.781,3.685,35.068,24.848,1.634,0.912,6.991,0.646,31825.000,31854.000,33908.000,4380.000,18200.000,6190.000,7393.000,5882.000,8926.000,2294.000,914.000,341.000,27928.000,7185.000,5102.000,2642.000,1083.191,29.290,61.000,1.232,0.273,687.000,251119.000,14.754,29.839,0.793,59.200,1.137,0.005,0.200,1.103,0.186,5.212,4.771,0.014,1.437,0.277,0.409,4.621,0.268,1.642,0.800,0.005,0.355,0.341,0.032,3.138,0.282
Alderwood,20,12054.000,11904.000,0.013,28.188,10.484,7.357,31.095,10.872,12.003,14.034,15.744,15.996,13.330,11.771,9.356,6.288,5.131,3.521,1.559,3.270,11.406,26.184,62.410,6.385,24.892,2.798,28.407,20.301,1.506,0.646,5.595,0.359,47709.000,46761.000,49899.000,4820.000,18562.000,8047.000,7495.000,3933.000,9642.000,8613.000,746.000,327.000,39159.000,11626.000,7895.000,4274.000,61.290,39.780,54.000,1.823,0.210,718.000,414216.000,11.013,10.719,0.730,68.889,0.991,0.008,0.118,1.899,0.059,3.755,2.268,0.000,0.714,0.302,0.134,2.713,0.403,0.756,0.286,0.000,0.143,0.202,0.017,1.613,0.101
Annex,95,30526.000,29177.000,0.046,37.224,4.851,7.708,30.915,7.153,12.148,15.560,14.761,11.509,10.088,9.231,7.517,6.349,4.732,3.389,2.610,14.255,2.512,11.499,85.934,2.037,11.192,2.149,70.555,38.264,3.740,1.842,21.937,4.856,112766.000,117981.000,102593.000,44538.000,42918.000,8250.000,6959.000,3313.000,8296.000,4617.000,733.000,300.000,80138.000,45973.000,30496.000,18254.000,120.300,43.760,58.000,0.494,0.257,721.000,392271.000,4.037,4.534,0.864,74.074,0.415,0.001,0.021,0.969,0.065,1.481,0.637,0.000,0.202,0.110,0.051,1.045,0.117,0.322,0.189,0.003,0.055,0.069,0.010,0.562,0.062
Banbury-Don Mills,42,27695.000,26918.000,0.029,31.068,8.979,6.800,26.925,8.855,17.373,14.825,14.579,12.168,10.940,10.538,8.506,6.921,5.068,4.041,2.813,9.600,4.258,15.812,79.965,2.792,16.894,3.909,56.265,34.171,3.700,3.002,13.752,1.710,67757.000,68234.000,63371.000,20893.000,29704.000,8242.000,8202.000,3835.000,8348.000,2039.000,825.000,326.000,51874.000,21829.000,14370.000,8509.000,0.000,29.540,48.000,0.249,0.223,692.000,233832.000,3.355,6.252,0.653,59.200,0.271,0.003,0.004,0.608,0.052,1.720,0.888,0.004,0.286,0.093,0.052,1.193,0.264,0.398,0.160,0.000,0.085,0.019,0.071,0.687,0.082
Bathurst Manor,34,15873.000,15434.000,0.028,28.770,10.422,8.696,29.832,9.100,13.179,17.048,20.284,16.022,12.194,9.471,7.064,5.328,3.710,3.078,1.618,4.183,5.511,21.010,73.364,4.420,18.657,4.076,46.269,28.530,4.305,1.550,10.103,1.780,45936.000,47015.000,46786.000,10273.000,18528.000,7476.000,6983.000,4419.000,9708.000,7125.000,816.000,342.000,37927.000,12656.000,8645.000,4814.000,0.000,41.760,56.000,1.037,0.836,717.000,292861.000,18.135,28.172,0.854,76.667,1.173,0.002,0.156,1.179,0.356,2.378,4.296,0.000,0.868,0.382,0.305,4.406,1.205,1.581,0.758,0.006,0.207,0.143,0.052,2.274,0.311
Bay Street Corridor,76,25797.000,19348.000,0.333,41.676,3.832,15.508,29.535,3.979,5.471,30.934,13.067,9.511,8.573,7.548,6.828,6.741,4.908,2.880,1.942,7.068,1.932,8.573,89.597,1.152,7.353,2.033,79.024,39.376,3.863,7.658,22.196,5.896,56526.000,64645.000,63009.000,17050.000,37712.000,8217.000,8106.000,5014.000,8917.000,0.000,763.000,283.000,43427.000,23471.000,16729.000,9224.000,74.556,54.460,51.000,0.873,0.853,750.000,511637.000,9.526,10.502,0.885,84.772,1.339,0.002,0.160,0.892,0.124,2.900,1.633,0.010,0.677,0.341,0.093,3.308,0.403,1.178,0.574,0.000,0.248,0.114,0.041,1.768,0.253
Bayview Village,52,21396.000,17671.000,0.211,32.102,7.668,7.953,32.734,8.065,11.478,21.903,15.794,12.134,10.163,9.572,7.883,6.250,4.842,3.378,2.055,6.025,3.001,13.250,83.788,1.871,16.524,3.819,61.652,38.153,3.118,2.845,15.472,2.027,52035.000,54357.000,51853.000,14638.000,32763.000,7716.000,8020.000,4604.000,8280.000,0.000,882.000,318.000,41440.000,16439.000,11062.000,6569.000,183.351,56.130,58.000,0.464,0.792,753.000,491396.000,5.070,4.844,0.850,81.034,0.645,0.002,0.023,1.177,0.017,3.786,0.877,0.006,0.232,0.158,0.068,2.897,0.209,0.934,0.362,0.000,0.085,0.006,0.006,0.600,0.045
Bayview Woods-Steeles,49,13154.000,13530.000,-0.028,27.127,8.396,9.061,24.882,10.114,20.421,20.965,18.788,13.488,10.270,8.661,6.910,5.490,4.307,3.076,2.035,6.010,4.928,14.467,80.684,3.180,15.819,3.657,57.870,33.466,4.452,2.464,14.547,2.862,47246.000,47319.000,45292.000,11674.000,28249.000,7871.000,6759.000,4937.000,8835.000,0.000,840.000,336.000,38196.000,14685.000,10191.000,5608.000,0.000,63.360,49.000,1.131,0.222,761.000,873268.000,9.860,5.551,0.875,85.455,0.953,0.004,0.074,1.426,0.074,0.000,1.027,0.007,0.421,0.554,0.030,2.343,0.185,0.835,0.540,0.000,0.133,0.037,0.037,1.367,0.155
Bedford Park-Nortown,39,23236.000,23185.000,0.002,28.040,14.110,9.944,26.052,9.525,12.329,14.027,12.104,11.595,9.248,7.636,6.363,5.288,4.581,3.846,3.252,22.059,3.653,13.600,82.790,2.817,12.544,2.597,64.701,37.720,4.533,4.357,16.241,1.937,123077.000,125630.000,112273.000,41765.000,37101.000,8659.000,9058.000,3966.000,9096.000,0.000,767.000,335.000,85678.000,48920.000,32139.000,19736.000,0.000,76.570,48.000,0.319,1.583,791.000,971668.000,5.288,1.290,0.956,91.304,0.729,0.001,0.026,0.819,0.017,0.000,0.177,0.000,0.207,0.216,0.069,0.923,0.095,0.328,0.233,0.000,0.073,0.004,0.039,0.677,0.069
